Date,Value
2016-02-10,4.37768284453536
2016-02-11,5.87194032261835
2016-02-12,5.47040384395091
2016-02-13,5.21879062419638
2016-02-14,5.15584398305085
2016-02-15,5.15268737580363
2016-02-16,4.26236679544126
2016-02-17,3.81098028872005
2016-02-18,4.36682773582700
2016-02-19,4.58564058328463
2016-02-20,4.35048920105202
2016-02-21,4.62442860549386
2016-02-22,5.59370853594389
2016-02-23,5.60993619696084
2016-02-24,6.23428100935126
2016-02-25,6.07227434482759
2016-02-26,5.87555043717125
2016-02-27,6.31073388778492
2016-02-28,6.49883606838106
2016-02-29,6.33325343074226
2016-03-01,7.52637569959088
2016-03-02,8.51878790765634
2016-03-03,9.28491024430157
2016-03-04,9.97869814319112
2016-03-05,10.75100627586210
2016-03-06,10.98440672092340
